order_day,total_sales,order_count,avg_order_value
2025-10-25,2001000,2,1000500.0
2025-10-26,1964000,1,1964000.0
2025-10-27,1573000,1,1573000.0
2025-10-28,1049000,1,1049000.0
2025-10-29,1531000,2,765500.0
2025-10-30,269000,1,269000.0
2025-10-31,3289000,2,1644500.0
2025-11-02,1325000,2,662500.0
2025-11-03,2206000,3,735333.0
2025-11-04,1339000,2,669500.0
2025-11-07,1295000,1,1295000.0
2025-11-10,1575000,1,1575000.0
2025-11-11,380000,1,380000.0
2025-11-13,2064000,1,2064000.0
2025-11-15,804000,1,804000.0
2025-11-17,2123000,3,707667.0
2025-11-18,1001000,1,1001000.0
2025-11-19,1435000,1,1435000.0
2025-11-21,936000,1,936000.0
2025-11-22,951000,1,951000.0
2025-11-25,1093000,2,546500.0
2025-11-28,1434000,2,717000.0
2025-12-02,1569000,2,784500.0
2025-12-10,544000,1,544000.0
2025-12-11,560000,1,560000.0
2025-12-12,1771000,2,885500.0
2025-12-13,472000,1,472000.0
2025-12-16,921000,1,921000.0
2025-12-18,564000,1,564000.0
2025-12-20,3497000,2,1748500.0
2025-12-21,1864000,2,932000.0
2025-12-23,794000,1,794000.0
2025-12-24,1115000,2,557500.0
2025-12-25,1317000,2,658500.0
2025-12-26,829000,2,414500.0
2025-12-29,2737000,3,912333.0
2025-12-30,1241000,1,1241000.0
2025-12-31,2114000,2,1057000.0
2026-01-02,919000,1,919000.0
2026-01-04,387000,2,193500.0
2026-01-06,2625000,3,875000.0
2026-01-07,1064000,1,1064000.0
2026-01-08,414000,1,414000.0
2026-01-09,1596000,2,798000.0
2026-01-11,300000,1,300000.0
2026-01-12,1116000,1,1116000.0
2026-01-13,2011000,2,1005500.0
2026-01-14,2209000,4,552250.0
2026-01-15,1762000,2,881000.0
2026-01-18,375000,1,375000.0
2026-01-20,236000,1,236000.0
2026-01-24,1792000,1,1792000.0
2026-01-26,1729000,2,864500.0
2026-01-27,413000,1,413000.0
2026-01-30,1597000,2,798500.0
2026-01-31,1457000,1,1457000.0
2026-02-01,734000,1,734000.0
2026-02-02,2435000,2,1217500.0
2026-02-04,1364000,1,1364000.0
2026-02-06,292000,1,292000.0
2026-02-07,3146000,3,1048667.0
2026-02-08,690000,2,345000.0
2026-02-09,569000,1,569000.0
2026-02-11,656000,1,656000.0
2026-02-13,646000,1,646000.0
2026-02-14,1464000,2,732000.0
2026-02-15,338000,1,338000.0
2026-02-17,1381000,1,1381000.0
2026-02-18,1071000,1,1071000.0
2026-02-21,2386000,2,1193000.0
2026-02-22,286000,1,286000.0
2026-02-23,396000,2,198000.0
2026-02-24,4155000,4,1038750.0
2026-02-25,160000,1,160000.0
2026-02-28,784000,1,784000.0
2026-03-01,672000,1,672000.0
2026-03-02,136000,1,136000.0
2026-03-04,914000,1,914000.0
2026-03-05,738000,1,738000.0
2026-03-06,1034000,1,1034000.0
2026-03-07,1038000,2,519000.0
2026-03-09,556000,1,556000.0
2026-03-11,1678000,1,1678000.0
2026-03-12,1089000,1,1089000.0
2026-03-15,1508000,1,1508000.0
2026-03-16,2280000,2,1140000.0
2026-03-17,906000,1,906000.0
2026-03-21,3708000,3,1236000.0
2026-03-22,1931000,1,1931000.0
2026-03-24,1092000,1,1092000.0
2026-03-31,2366000,2,1183000.0
2026-04-01,1208000,2,604000.0
2026-04-02,1606000,3,535333.0
2026-04-04,870000,1,870000.0
2026-04-05,102000,1,102000.0
2026-04-06,599000,2,299500.0
2026-04-07,1197000,1,1197000.0
2026-04-08,1108000,3,369333.0
2026-04-10,1317000,1,1317000.0
2026-04-13,1423000,1,1423000.0
2026-04-14,1261000,1,1261000.0
2026-04-15,1119000,1,1119000.0
2026-04-17,1059000,1,1059000.0
2026-04-18,306000,1,306000.0
2026-04-20,560000,1,560000.0
2026-04-21,681000,1,681000.0
2026-04-22,932000,1,932000.0
2026-04-23,602000,1,602000.0
2026-04-24,1566000,1,1566000.0
2026-04-25,412000,1,412000.0
2026-04-26,1231000,1,1231000.0
2026-04-28,772000,1,772000.0
2026-04-29,1034000,1,1034000.0
2026-04-30,2147000,3,715667.0
2026-05-04,92000,1,92000.0
2026-05-05,558000,1,558000.0
2026-05-07,1436000,1,1436000.0
2026-05-09,910000,1,910000.0
2026-05-11,2985000,4,746250.0
2026-05-13,1187000,1,1187000.0
2026-05-16,694000,1,694000.0
2026-05-17,504000,1,504000.0
2026-05-19,257000,1,257000.0
2026-05-23,3362000,2,1681000.0
2026-05-24,1022000,2,511000.0
2026-05-25,1274000,2,637000.0
2026-05-26,685000,1,685000.0
2026-05-27,1863000,1,1863000.0
2026-06-02,963000,1,963000.0
2026-06-03,739000,2,369500.0
2026-06-06,1334000,1,1334000.0
2026-06-07,1469000,2,734500.0
2026-06-10,1490000,1,1490000.0
2026-06-11,10000,1,10000.0
2026-06-14,1743000,2,871500.0
2026-06-15,1877000,1,1877000.0
2026-06-19,1767000,1,1767000.0
2026-06-25,703000,2,351500.0
2026-06-30,1936000,2,968000.0
2026-07-01,1265000,1,1265000.0
2026-07-05,1025000,2,512500.0
2026-07-08,86000,1,86000.0
